100
1857	2738
2894	8773
1463	5183
6905	8268
3221	2457
3473	730
2983	4045
5486	5208
815	6755
1875	934
606	7576
6045	4078
9323	8669
7952	2547
303	8201
6131	4811
7871	9452
854	1630
5468	655
7539	7194
2588	3671
5319	3872
4004	3636
8823	9370
2183	4813
4853	437
8935	5346
8461	2389
2920	9868
4339	473
8222	1895
9336	5659
5826	447
8995	3322
3337	1432
7140	4825
7970	3168
1959	6377
8240	6048
953	5905
5779	7114
7741	883
5927	7473
3088	4641
8609	9286
4558	9381
7577	1956
8888	4529
3717	7332
7074	9300
1880	753
8823	4604
255	6767
3610	8398
9728	2393
2860	8228
2032	5977
9534	3627
8144	172
1896	1532
6615	4909
3587	126
2628	2673
9761	9724
1941	1952
5552	6945
3436	3149
4392	4101
6746	2567
9328	6317
4146	9128
695	2216
6337	8418
8455	6114
2684	3094
713	9431
5066	5653
8216	6620
7158	6191
636	4345
676	6403
8073	876
7813	1209
6832	3156
1595	9219
2050	607
4780	2726
3303	2675
2177	523
4923	2899
5349	7686
2269	8907
784	3975
3825	1158
7260	142
9046	110
2894	8707
1994	6722
4565	6538
6363	3724
